#Release 14.7 - par P.20160913 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon Feb 18 06:17:21 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       DS2_map.ncd
#OUTPUT FILE:      DS2_pad.csv
#PART TYPE:        xa6slx4
#SPEED GRADE:      -3
#PACKAGE:          csg225
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
M2,,,VCCO_3,,,3,,,,,any******,,,,
M3,data1<6>,IOB,IO_L38P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M4,data1<0>,IOB,IO_L1P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M5,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
M6,,,NC,,,,,,,,,,,,
M7,,,VCCO_2,,,2,,,,,any******,,,,
M8,,IOBM,IO_L30P_GCLK1_D13_2,UNUSED,,2,,,,,,,,,
M9,,,NC,,,,,,,,,,,,
M10,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
M11,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
M12,,,VCCAUX,,,,,,,,2.5,,,,
M13,out<26>,IOB,IO_L46P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M14,,,VCCO_1,,,1,,,,,2.50,,,,
M15,out<27>,IOB,IO_L46N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N1,data1<5>,IOB,IO_L37N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N2,data1<4>,IOB,IO_L37P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N3,,,GND,,,,,,,,,,,,
N4,,IOBM,IO_L63P_2,UNUSED,,2,,,,,,,,,
N5,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
N6,,IOBM,IO_L48P_D7_2,UNUSED,,2,,,,,,,,,
N7,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
N8,,IOBM,IO_L29P_GCLK3_2,UNUSED,,2,,,,,,,,,
N9,,,NC,,,,,,,,,,,,
N10,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
N11,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
N12,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
N13,,,GND,,,,,,,,,,,,
N14,out<28>,IOB,IO_L47P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N15,out<29>,IOB,IO_L47N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P1,data1<3>,IOB,IO_L2N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P2,data1<2>,IOB,IO_L2P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P3,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P4,,,VCCO_2,,,2,,,,,any******,,,,
P5,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
P6,,,GND,,,,,,,,,,,,
P7,,IOBM,IO_L32P_GCLK29_2,UNUSED,,2,,,,,,,,,
P8,,,VCCO_2,,,2,,,,,any******,,,,
P9,,IOBM,IO_L16P_2,UNUSED,,2,,,,,,,,,
P10,,,GND,,,,,,,,,,,,
P11,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P12,,,VCCO_2,,,2,,,,,any******,,,,
P13,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
P14,out<30>,IOB,IO_L74P_AWAKE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P15,out<31>,IOB,IO_L74N_DOUT_BUSY_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R1,,,GND,,,,,,,,,,,,
R2,,,PROGRAM_B_2,,,,,,,,,,,,
R3,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
R4,,IOBS,IO_L63N_2,UNUSED,,2,,,,,,,,,
R5,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
R6,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
R7,,IOBS,IO_L32N_GCLK28_2,UNUSED,,2,,,,,,,,,
R8,,IOBS,IO_L29N_GCLK2_2,UNUSED,,2,,,,,,,,,
R9,,IOBS,IO_L16N_VREF_2,UNUSED,,2,,,,,,,,,
R10,,IOBS,IO_L13N_D10_2,UNUSED,,2,,,,,,,,,
R11,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
R12,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
R13,,IOBS,IO_L2N_CMPMOSI_2,UNUSED,,2,,,,,,,,,
R14,,,DONE_2,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
